room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,suburb
14187863,7409213,Entire home/apt,Central Northern Sydney,0,0,12,6,2229,-33.648586,150.996917,Kenthurst
3563801,3046924,Entire home/apt,Eastern Suburbs,1,0,7,4,2338,-33.876479,151.232839,Darling Point
7423332,27719662,Entire home/apt,Northern Beaches,0,0,10,5,1949,-33.801706,151.297669,Manly
4672147,3231371,Entire home/apt,Lower Northern Sydney,6,5,9,4,1559,-33.817573,151.234403,Mosman
18346630,23717928,Entire home/apt,Northern Beaches,0,0,10,4,2027,-33.610567,151.328014,Palm Beach
9371114,11914644,Entire home/apt,Eastern Suburbs,0,0,8,4,1713,-33.856093,151.269282,Vaucluse
7827185,41215678,Entire home/apt,Eastern Suburbs,0,0,10,5,1754,-33.880823,151.277622,North Bondi
10102802,43736801,Entire home/apt,Eastern Suburbs,0,0,7,5,1559,-33.857358,151.277524,Vaucluse
17912910,7409213,Entire home/apt,Inner Sydney,0,0,4,2,3898,-33.851461,151.186754,Birchgrove
14715225,66802782,Entire home/apt,Eastern Suburbs,0,0,10,5,2253,-33.861701,151.28261,Vaucluse
7827651,16026854,Entire home/apt,Eastern Suburbs,0,0,4,3,1559,-33.87928,151.260129,Bellevue Hill
14270427,76434339,Entire home/apt,Eastern Suburbs,0,0,8,5,1559,-33.888667,151.281871,North Bondi
17998228,21851118,Entire home/apt,Lower Northern Sydney,0,0,10,5,1559,-33.84019,151.250375,Mosman
4430396,16592147,Entire home/apt,Eastern Suburbs,0,0,8,4,1559,-33.872206,151.282447,Dover Heights
19441752,111660460,Entire home/apt,Central Western Sydney,0,0,9,4,1559,-33.84715,151.071965,Sydney Olympic Park
18448267,86972739,Entire home/apt,Eastern Suburbs,0,0,8,4,1949,-33.867679,151.282992,Dover Heights
9097566,39758463,Entire home/apt,Eastern Suburbs,0,0,6,4,1715,-33.848127,151.285946,Vaucluse
14900982,93549907,Entire home/apt,Lower Northern Sydney,0,0,6,5,1559,-33.823691,151.247091,Mosman
18900370,131716989,Entire home/apt,Inner Sydney,0,0,6,3,7015,-33.87092,151.202611,Sydney
18654805,19330943,Entire home/apt,Eastern Suburbs,0,0,10,5,1559,-33.880341,151.249849,Bellevue Hill
16229484,8047188,Entire home/apt,Eastern Suburbs,11,5,6,3,1559,-33.893902,151.265317,Bondi
12389203,66983004,Entire home/apt,Inner Sydney,0,0,4,2,3118,-33.862615,151.17585,Rozelle
18187986,125502671,Entire home/apt,Lower Northern Sydney,0,0,14,5,1559,-33.831521,151.153604,Hunters Hill
